exchange,symbol,best_bid,best_bid_volume,best_ask,best_ask_volume,timestamp
BITFLYER,FX_BTC_JPY,17585433,0.05000000,17585852,0.02733253,2025-07-16T07:00:00.019989Z
GMO,BTC_JPY,17581479,0.00300000,17584482,0.02000000,2025-07-16T07:00:00.353532Z
BITFLYER,FX_BTC_JPY,17585433,0.05000000,17585852,0.02733253,2025-07-16T07:00:00.353583Z
GMO,BTC,17600036,0.07992000,17606052,0.02900000,2025-07-16T07:00:00.353631Z
BITFLYER,FX_BTC_JPY,17585433,0.05000000,17585852,0.02733253,2025-07-16T07:00:00.353800Z
BITFLYER,BTC_JPY,17603035,0.03150585,17603168,0.03128097,2025-07-16T07:00:00.431681Z
BITFLYER,FX_BTC_JPY,17583987,0.00100000,17584345,0.07900000,2025-07-16T07:00:00.455811Z
BITFLYER,BTC_JPY,17603035,0.03150585,17603168,0.03128097,2025-07-16T07:00:00.543719Z
BITFLYER,FX_BTC_JPY,17583996,0.02000000,17584345,0.07900000,2025-07-16T07:00:00.567151Z
BITFLYER,BTC_JPY,17603034,0.02000000,17603168,0.03128097,2025-07-16T07:00:00.663410Z
BITFLYER,FX_BTC_JPY,17585058,0.02900000,17585850,0.07900000,2025-07-16T07:00:00.736055Z
BITFLYER,BTC_JPY,17603035,0.02954937,17603168,0.03128097,2025-07-16T07:00:00.815111Z
GMO,BTC_JPY,17581479,0.00300000,17584481,0.02000000,2025-07-16T07:00:00.816728Z
GMO,BTC,17600036,0.07992000,17606052,0.02900000,2025-07-16T07:00:00.816784Z
BITFLYER,FX_BTC_JPY,17583996,0.02000000,17584335,0.02733253,2025-07-16T07:00:00.847465Z
BITFLYER,BTC_JPY,17603034,0.02000000,17603168,0.03128097,2025-07-16T07:00:00.939899Z
BITFLYER,FX_BTC_JPY,17583996,0.02000000,17584335,0.02733253,2025-07-16T07:00:00.950739Z
BITFLYER,BTC_JPY,17603034,0.02000000,17603168,0.03128097,2025-07-16T07:00:01.061404Z
BITFLYER,FX_BTC_JPY,17583996,0.02000000,17584335,0.00333253,2025-07-16T07:00:01.100897Z
BITFLYER,FX_BTC_JPY,17583996,0.02000000,17584334,0.06900000,2025-07-16T07:00:01.218515Z
BITFLYER,BTC_JPY,17603034,0.02000000,17603168,0.03128097,2025-07-16T07:00:01.229898Z
GMO,BTC_JPY,17581480,0.01000000,17583518,0.02000000,2025-07-16T07:00:01.308633Z
GMO,BTC,17600037,0.03000000,17606052,0.02900000,2025-07-16T07:00:01.320965Z
BITFLYER,FX_BTC_JPY,17583996,0.02000000,17585843,0.06900000,2025-07-16T07:00:01.370592Z
BITFLYER,FX_BTC_JPY,17583996,0.02000000,17585238,0.05946351,2025-07-16T07:00:01.447365Z
