exchange,symbol,ts,bid1,bid1vol,bid2,bid2vol,bid3,bid3vol,bid4,bid4vol,bid5,bid5vol,bid6,bid6vol,bid7,bid7vol,bid8,bid8vol,ask1,ask1vol,ask2,ask2vol,ask3,ask3vol,ask4,ask4vol,ask5,ask5vol,ask6,ask6vol,ask7,ask7vol,ask8,ask8vol
BITFLYER,FX_BTC_JPY,2025-07-16T05:12:27.516727Z,17586850,0.03000000,17586624,0.00100000,17586403,0.00100000,17585503,0.05600000,17585495,0.05870000,17585302,0.05238092,17584254,0.00600000,17584237,0.02000000,17589964,0.02140000,17589965,0.00100000,17589966,0.01500000,17590047,0.09230000,17590048,0.05000000,17590255,0.01000000,17590733,0.00100000,17590734,0.06900000
BITFLYER,BTC_JPY,2025-07-16T05:12:27.485995Z,17591468,0.00966280,17591454,0.01101760,17591453,0.21000000,17591004,0.03102004,17571025,0.02100000,17570146,0.02100000,15829000,0.00100000,,,17599897,0.02000000,17600738,0.02779712,17668314,0.00200000,,,,,,,,,,
BITFLYER,BTC_JPY,2025-07-16T05:12:27.485995Z,17591468,0.00966280,17591454,0.01101760,17591453,0.21000000,17591004,0.03102004,17571025,0.02100000,17570146,0.02100000,15829000,0.00100000,,,17599897,0.02000000,17600738,0.02779712,17668314,0.00200000,,,,,,,,,,
BITFLYER,BTC_JPY,2025-07-16T05:12:27.485995Z,17591468,0.00966280,17591454,0.01101760,17591453,0.21000000,17591004,0.03102004,17571025,0.02100000,17570146,0.02100000,15829000,0.00100000,,,17599897,0.02000000,17600738,0.02779712,17668314,0.00200000,,,,,,,,,,
BITFLYER,BTC_JPY,2025-07-16T05:12:27.485995Z,17591468,0.00966280,17591454,0.01101760,17591453,0.21000000,17591004,0.03102004,17571025,0.02100000,17570146,0.02100000,15829000,0.00100000,,,17599897,0.02000000,17600738,0.02779712,17668314,0.00200000,,,,,,,,,,
BITFLYER,BTC_JPY,2025-07-16T05:12:27.485995Z,17591468,0.00966280,17591454,0.01101760,17591453,0.21000000,17591004,0.03102004,17571025,0.02100000,17570146,0.02100000,15829000,0.00100000,,,17599897,0.02000000,17600738,0.02779712,17668314,0.00200000,,,,,,,,,,
BITFLYER,BTC_JPY,2025-07-16T05:12:27.485995Z,17591468,0.00966280,17591454,0.01101760,17591453,0.21000000,17591004,0.03102004,17571025,0.02100000,17570146,0.02100000,15829000,0.00100000,,,17599897,0.02000000,17600738,0.02779712,17668314,0.00200000,,,,,,,,,,
BITFLYER,BTC_JPY,2025-07-16T05:12:27.485995Z,17591468,0.00966280,17591454,0.01101760,17591453,0.21000000,17591004,0.03102004,17571025,0.02100000,17570146,0.02100000,15829000,0.00100000,,,17599897,0.02000000,17600738,0.02779712,17668314,0.00200000,,,,,,,,,,
BITFLYER,BTC_JPY,2025-07-16T05:12:27.516528Z,17591559,0.24000000,17591454,0.01101760,17591452,0.13866270,17591205,0.03102004,17590373,0.01084160,17589253,0.20000000,17589028,0.01117600,17587780,0.01071840,17599750,0.00100000,17599897,0.02000000,17599900,0.28830000,17599990,0.05000000,17599999,0.33000000,17600000,1.87748700,17600738,0.02779712,17600739,0.00210000
BITFLYER,BTC_JPY,2025-07-16T05:12:27.516528Z,17591559,0.24000000,17591454,0.01101760,17591452,0.13866270,17591205,0.03102004,17590373,0.01084160,17589253,0.20000000,17589028,0.01117600,17587780,0.01071840,17599750,0.00100000,17599897,0.02000000,17599900,0.28830000,17599990,0.05000000,17599999,0.33000000,17600000,1.87748700,17600738,0.02779712,17600739,0.00210000
BITFLYER,FX_BTC_JPY,2025-07-16T05:12:27.516727Z,17586850,0.03000000,17586624,0.00100000,17586403,0.00100000,17585503,0.05600000,17585495,0.05870000,17585302,0.05238092,17584254,0.00600000,17584237,0.02000000,17589964,0.02140000,17589965,0.00100000,17589966,0.01500000,17590047,0.09230000,17590048,0.05000000,17590255,0.01000000,17590733,0.00100000,17590734,0.06900000
BITFLYER,BTC_JPY,2025-07-16T05:12:27.516528Z,17591559,0.24000000,17591454,0.01101760,17591452,0.13866270,17591205,0.03102004,17590373,0.01084160,17589253,0.20000000,17589028,0.01117600,17587780,0.01071840,17599750,0.00100000,17599897,0.02000000,17599900,0.28830000,17599990,0.05000000,17599999,0.33000000,17600000,1.87748700,17600738,0.02779712,17600739,0.00210000
BITFLYER,FX_BTC_JPY,2025-07-16T05:12:27.516727Z,17586850,0.03000000,17586624,0.00100000,17586403,0.00100000,17585503,0.05600000,17585495,0.05870000,17585302,0.05238092,17584254,0.00600000,17584237,0.02000000,17589964,0.02140000,17589965,0.00100000,17589966,0.01500000,17590047,0.09230000,17590048,0.05000000,17590255,0.01000000,17590733,0.00100000,17590734,0.06900000
