exchange,symbol,trade_id,price,size,side,timestamp,created_at
BITFLYER,BTC_JPY,BITFLYER-2609086402,17553007,0.00860227,SELL,2025-07-16T06:14:39.360489100Z,2025-07-16T06:14:39.774257
BITFLYER,BTC_JPY,BITFLYER-2609086405,17553007,0.04645228,SELL,2025-07-16T06:14:41.565926600Z,2025-07-16T06:14:41.642011
GMO,BTC,GMO-1752646481733,17560000,0.00001000,SELL,2025-07-16T06:14:38.576Z,2025-07-16T06:14:41.734153
GMO,BTC,GMO-1752646481734,17560000,0.00001000,BUY,2025-07-16T06:14:38.576Z,2025-07-16T06:14:41.734270
GMO,BTC_JPY,GMO-1752646483185,17530083,0.01000000,BUY,2025-07-16T06:14:43.219Z,2025-07-16T06:14:43.185613
GMO,BTC_JPY,GMO-1752646483187,17530083,0.01000000,SELL,2025-07-16T06:14:43.219Z,2025-07-16T06:14:43.187611
BITFLYER,BTC_JPY,BITFLYER-2609086408,17550000,0.00200000,SELL,2025-07-16T06:14:45.017281700Z,2025-07-16T06:14:45.041112
BITFLYER,BTC_JPY,BITFLYER-2609086409,17550000,0.00270000,SELL,2025-07-16T06:14:45.017281700Z,2025-07-16T06:14:45.041201
BITFLYER,BTC_JPY,BITFLYER-2609086410,17550000,0.01700000,SELL,2025-07-16T06:14:45.017281700Z,2025-07-16T06:14:45.041282
BITFLYER,BTC_JPY,BITFLYER-2609086411,17546237,0.00978729,SELL,2025-07-16T06:14:45.396702700Z,2025-07-16T06:14:45.471318
BITFLYER,BTC_JPY,BITFLYER-2609086412,17546236,0.01143120,SELL,2025-07-16T06:14:45.396702700Z,2025-07-16T06:14:45.471489
BITFLYER,BTC_JPY,BITFLYER-2609086413,17546000,0.00100000,SELL,2025-07-16T06:14:45.396702700Z,2025-07-16T06:14:45.471708
BITFLYER,BTC_JPY,BITFLYER-2609086414,17545174,0.02000000,SELL,2025-07-16T06:14:45.396702700Z,2025-07-16T06:14:45.471877
BITFLYER,BTC_JPY,BITFLYER-2609086415,17545173,0.01000000,SELL,2025-07-16T06:14:45.396702700Z,2025-07-16T06:14:45.472037
BITFLYER,BTC_JPY,BITFLYER-2609086416,17544540,0.04200000,SELL,2025-07-16T06:14:45.396702700Z,2025-07-16T06:14:45.472196
BITFLYER,BTC_JPY,BITFLYER-2609086417,17544522,0.01000000,SELL,2025-07-16T06:14:45.396702700Z,2025-07-16T06:14:45.472358
BITFLYER,BTC_JPY,BITFLYER-2609086418,17544300,0.04578151,SELL,2025-07-16T06:14:45.396702700Z,2025-07-16T06:14:45.472516
BITFLYER,FX_BTC_JPY,BITFLYER-2609084261,17528733,0.00500000,SELL,2025-07-16T06:14:45.998313800Z,2025-07-16T06:14:45.997161
BITFLYER,FX_BTC_JPY,BITFLYER-2609084262,17528475,0.01100000,SELL,2025-07-16T06:14:45.998313800Z,2025-07-16T06:14:45.997252
BITFLYER,FX_BTC_JPY,BITFLYER-2609084263,17528063,0.01000000,SELL,2025-07-16T06:14:46.118736700Z,2025-07-16T06:14:46.123315
BITFLYER,BTC_JPY,BITFLYER-2609086421,17546238,0.01000000,SELL,2025-07-16T06:14:46.370007100Z,2025-07-16T06:14:46.417777
BITFLYER,FX_BTC_JPY,BITFLYER-2609084264,17530186,0.00100000,BUY,2025-07-16T06:14:47.146269500Z,2025-07-16T06:14:47.136085
BITFLYER,BTC_JPY,BITFLYER-2609086425,17552793,0.01337700,BUY,2025-07-16T06:14:50.895629600Z,2025-07-16T06:14:50.945093
GMO,BTC_JPY,GMO-1752646495037,17525826,0.02000000,SELL,2025-07-16T06:14:55.062Z,2025-07-16T06:14:55.038157
GMO,BTC_JPY,GMO-1752646495038,17525826,0.02000000,BUY,2025-07-16T06:14:55.062Z,2025-07-16T06:14:55.038456
BITFLYER,FX_BTC_JPY,BITFLYER-2609084265,17527535,0.04125000,SELL,2025-07-16T06:14:55.324218700Z,2025-07-16T06:14:55.310714
BITFLYER,FX_BTC_JPY,BITFLYER-2609084266,17527536,0.01900000,SELL,2025-07-16T06:14:56.832449600Z,2025-07-16T06:14:56.826836
BITFLYER,FX_BTC_JPY,BITFLYER-2609084267,17530186,0.04000000,BUY,2025-07-16T06:15:00.340666Z,2025-07-16T06:15:00.368379
GMO,BTC_JPY,GMO-1752646500878,17529459,0.00500000,BUY,2025-07-16T06:15:00.911Z,2025-07-16T06:15:00.879067
GMO,BTC_JPY,GMO-1752646500880,17529459,0.00500000,SELL,2025-07-16T06:15:00.911Z,2025-07-16T06:15:00.880552
GMO,BTC_JPY,GMO-1752646500880,17529459,0.01500000,BUY,2025-07-16T06:15:00.913Z,2025-07-16T06:15:00.880696
GMO,BTC_JPY,GMO-1752646500880,17529459,0.01500000,SELL,2025-07-16T06:15:00.913Z,2025-07-16T06:15:00.880893
BITFLYER,BTC_JPY,BITFLYER-2609086436,17547566,0.00200000,SELL,2025-07-16T06:15:06.202178800Z,2025-07-16T06:15:06.420725
BITFLYER,FX_BTC_JPY,BITFLYER-2609084268,17533088,0.01502105,BUY,2025-07-16T06:15:06.774600500Z,2025-07-16T06:15:06.771987
BITFLYER,FX_BTC_JPY,BITFLYER-2609084269,17533088,0.00149965,BUY,2025-07-16T06:15:06.790243700Z,2025-07-16T06:15:06.808763
BITFLYER,FX_BTC_JPY,BITFLYER-2609084270,17533223,0.05000000,BUY,2025-07-16T06:15:06.790243700Z,2025-07-16T06:15:06.808857
BITFLYER,FX_BTC_JPY,BITFLYER-2609084271,17533594,0.01850035,BUY,2025-07-16T06:15:06.790243700Z,2025-07-16T06:15:06.808960
BITFLYER,FX_BTC_JPY,BITFLYER-2609084272,17533594,0.01502120,BUY,2025-07-16T06:15:06.790243700Z,2025-07-16T06:15:06.809042
BITFLYER,FX_BTC_JPY,BITFLYER-2609084273,17533594,0.00500611,BUY,2025-07-16T06:15:06.790243700Z,2025-07-16T06:15:06.809110
BITFLYER,FX_BTC_JPY,BITFLYER-2609084274,17533594,0.00601485,BUY,2025-07-16T06:15:06.790243700Z,2025-07-16T06:15:06.809176
BITFLYER,FX_BTC_JPY,BITFLYER-2609084275,17533594,0.00659698,BUY,2025-07-16T06:15:06.805881500Z,2025-07-16T06:15:06.809245
BITFLYER,FX_BTC_JPY,BITFLYER-2609084276,17533746,0.00842704,BUY,2025-07-16T06:15:06.805881500Z,2025-07-16T06:15:06.809318
BITFLYER,FX_BTC_JPY,BITFLYER-2609084277,17533745,0.07410000,BUY,2025-07-16T06:15:06.983591200Z,2025-07-16T06:15:06.999232
GMO,BTC_JPY,GMO-1752646507249,17530094,0.00100000,BUY,2025-07-16T06:15:07.282Z,2025-07-16T06:15:07.249535
GMO,BTC_JPY,GMO-1752646507249,17530094,0.00100000,SELL,2025-07-16T06:15:07.282Z,2025-07-16T06:15:07.249650
BITFLYER,FX_BTC_JPY,BITFLYER-2609084278,17533739,0.00172974,BUY,2025-07-16T06:15:07.266373700Z,2025-07-16T06:15:07.263746
BITFLYER,FX_BTC_JPY,BITFLYER-2609084279,17535346,0.03421932,BUY,2025-07-16T06:15:07.371424Z,2025-07-16T06:15:07.372507
BITFLYER,FX_BTC_JPY,BITFLYER-2609084280,17535257,0.00600000,BUY,2025-07-16T06:15:07.627395300Z,2025-07-16T06:15:07.628595
GMO,BTC,GMO-1752646508828,17559267,0.00470000,BUY,2025-07-16T06:15:08.861Z,2025-07-16T06:15:08.828596
GMO,BTC,GMO-1752646508828,17559267,0.00470000,SELL,2025-07-16T06:15:08.861Z,2025-07-16T06:15:08.828729
BITFLYER,BTC_JPY,BITFLYER-2609086443,17548928,0.01000000,SELL,2025-07-16T06:15:12.253513100Z,2025-07-16T06:15:12.290949
GMO,BTC,GMO-1752646512834,17559821,0.00020000,BUY,2025-07-16T06:15:12.868Z,2025-07-16T06:15:12.835347
GMO,BTC,GMO-1752646512838,17559821,0.00020000,SELL,2025-07-16T06:15:12.868Z,2025-07-16T06:15:12.839137
GMO,BTC,GMO-1752646516837,17559999,0.00450000,BUY,2025-07-16T06:15:16.866Z,2025-07-16T06:15:16.837499
GMO,BTC,GMO-1752646516838,17559999,0.00450000,SELL,2025-07-16T06:15:16.866Z,2025-07-16T06:15:16.838989
BITFLYER,FX_BTC_JPY,BITFLYER-2609084281,17533176,0.00100000,SELL,2025-07-16T06:15:16.892249Z,2025-07-16T06:15:16.896250
BITFLYER,BTC_JPY,BITFLYER-2609086449,17549902,0.01000000,SELL,2025-07-16T06:15:18.799907800Z,2025-07-16T06:15:18.815427
GMO,BTC,GMO-1752646520831,17559999,0.00450000,BUY,2025-07-16T06:15:20.861Z,2025-07-16T06:15:20.831445
GMO,BTC,GMO-1752646520831,17559999,0.00450000,SELL,2025-07-16T06:15:20.861Z,2025-07-16T06:15:20.831712
GMO,BTC,GMO-1752646520831,17560001,0.00240000,BUY,2025-07-16T06:15:20.861Z,2025-07-16T06:15:20.831927
GMO,BTC,GMO-1752646520832,17560001,0.00240000,SELL,2025-07-16T06:15:20.861Z,2025-07-16T06:15:20.832477
BITFLYER,BTC_JPY,BITFLYER-2609086452,17550087,0.01662420,SELL,2025-07-16T06:15:23.291729300Z,2025-07-16T06:15:23.329122
BITFLYER,BTC_JPY,BITFLYER-2609086453,17550086,0.00100000,SELL,2025-07-16T06:15:23.291729300Z,2025-07-16T06:15:23.329188
BITFLYER,BTC_JPY,BITFLYER-2609086454,17549911,0.01437580,SELL,2025-07-16T06:15:23.291729300Z,2025-07-16T06:15:23.329280
BITFLYER,BTC_JPY,BITFLYER-2609086455,17549911,0.00562420,SELL,2025-07-16T06:15:23.301787600Z,2025-07-16T06:15:23.329345
BITFLYER,BTC_JPY,BITFLYER-2609086456,17549910,0.00437580,SELL,2025-07-16T06:15:23.301787600Z,2025-07-16T06:15:23.329399
GMO,BTC,GMO-1752646524836,17560501,0.00700000,BUY,2025-07-16T06:15:24.863Z,2025-07-16T06:15:24.837149
GMO,BTC,GMO-1752646524837,17560501,0.00700000,SELL,2025-07-16T06:15:24.863Z,2025-07-16T06:15:24.837311
BITFLYER,BTC_JPY,BITFLYER-2609086460,17550442,0.01000000,SELL,2025-07-16T06:15:28.493476600Z,2025-07-16T06:15:28.519401
GMO,BTC,GMO-1752646528871,17561255,0.00210000,BUY,2025-07-16T06:15:28.876Z,2025-07-16T06:15:28.872213
GMO,BTC,GMO-1752646528873,17561255,0.00210000,SELL,2025-07-16T06:15:28.876Z,2025-07-16T06:15:28.873491
BITFLYER,BTC_JPY,BITFLYER-2609086461,17550448,0.01000000,SELL,2025-07-16T06:15:31.867629100Z,2025-07-16T06:15:31.911334
BITFLYER,FX_BTC_JPY,BITFLYER-2609084282,17534068,0.00100000,BUY,2025-07-16T06:15:32.421529200Z,2025-07-16T06:15:32.419983
